job,marital,education,default,housing,loan,contact,month,poutcome,deposit
housemaid,single,primary,no,yes,no,cellular,may,failure,yes
blue-collar,married,secondary,no,yes,no,cellular,may,unknown,yes
admin.,married,secondary,no,yes,yes,cellular,may,unknown,yes
blue-collar,married,primary,no,yes,yes,cellular,may,unknown,yes
entrepreneur,married,secondary,no,yes,no,cellular,may,unknown,yes
services,divorced,secondary,no,yes,no,cellular,may,other,yes
blue-collar,married,primary,no,yes,yes,cellular,may,unknown,yes
admin.,single,secondary,no,yes,no,cellular,may,other,yes
blue-collar,married,secondary,no,yes,no,cellular,may,unknown,yes
management,single,tertiary,no,yes,no,cellular,may,failure,yes
admin.,married,secondary,no,yes,no,cellular,may,failure,yes
blue-collar,divorced,primary,no,yes,no,cellular,may,unknown,yes
services,married,secondary,no,yes,no,cellular,may,success,yes
blue-collar,single,secondary,no,yes,no,cellular,may,success,yes
blue-collar,married,secondary,no,yes,no,cellular,may,unknown,yes
admin.,married,secondary,no,yes,yes,cellular,may,other,yes
services,single,secondary,no,yes,no,cellular,may,unknown,yes
blue-collar,married,primary,no,yes,no,cellular,may,success,yes
blue-collar,married,primary,no,yes,yes,cellular,may,unknown,yes
blue-collar,married,secondary,no,yes,yes,cellular,may,unknown,yes
admin.,single,primary,no,yes,no,cellular,may,other,yes
admin.,single,tertiary,no,yes,no,cellular,may,unknown,yes
technician,married,secondary,no,yes,yes,cellular,may,unknown,yes
services,single,secondary,no,yes,no,cellular,may,unknown,yes
services,married,secondary,no,yes,no,cellular,may,unknown,yes
management,married,tertiary,no,yes,no,cellular,may,unknown,yes
self-employed,divorced,tertiary,no,yes,no,cellular,may,unknown,yes
admin.,married,secondary,no,yes,no,telephone,may,success,yes
blue-collar,married,secondary,no,no,yes,cellular,may,unknown,yes
blue-collar,married,unknown,no,yes,no,cellular,may,unknown,yes
blue-collar,married,primary,no,yes,no,cellular,may,unknown,yes
blue-collar,married,primary,no,yes,no,cellular,may,failure,yes
admin.,single,secondary,no,yes,no,cellular,may,unknown,yes
blue-collar,single,secondary,no,yes,no,cellular,may,unknown,yes
blue-collar,single,primary,no,yes,no,cellular,may,unknown,yes
blue-collar,married,primary,no,yes,no,cellular,may,unknown,yes
housemaid,single,primary,no,yes,no,cellular,may,unknown,yes
blue-collar,married,primary,no,no,no,cellular,may,unknown,yes
management,single,tertiary,no,yes,no,cellular,may,unknown,yes
blue-collar,married,primary,no,yes,no,cellular,may,unknown,yes
blue-collar,married,secondary,no,yes,no,cellular,may,unknown,yes
housemaid,single,primary,no,yes,no,cellular,may,unknown,yes
technician,married,secondary,no,yes,no,cellular,may,failure,yes
blue-collar,married,secondary,no,yes,no,cellular,may,unknown,yes
admin.,divorced,secondary,no,yes,no,cellular,may,success,yes
blue-collar,married,secondary,no,yes,no,cellular,may,unknown,yes
blue-collar,single,secondary,no,yes,yes,cellular,may,failure,yes
management,married,tertiary,no,yes,no,cellular,may,unknown,yes
management,married,tertiary,no,yes,no,cellular,may,unknown,yes
management,single,tertiary,no,yes,no,cellular,may,unknown,yes
management,single,tertiary,no,yes,no,cellular,may,failure,yes
blue-collar,single,primary,no,yes,no,cellular,may,unknown,yes
admin.,divorced,secondary,no,yes,no,cellular,may,unknown,yes
admin.,married,secondary,no,yes,no,cellular,may,unknown,yes
services,married,secondary,no,yes,no,cellular,may,unknown,yes
services,divorced,secondary,no,yes,yes,cellular,may,unknown,yes
blue-collar,single,primary,no,yes,no,telephone,may,unknown,yes
student,single,tertiary,no,yes,no,cellular,may,unknown,yes
management,single,tertiary,no,yes,no,cellular,may,failure,yes
blue-collar,divorced,primary,no,yes,no,cellular,may,failure,yes
services,single,secondary,no,yes,no,cellular,may,unknown,yes
blue-collar,single,primary,no,yes,yes,cellular,may,unknown,yes
blue-collar,single,primary,no,yes,no,cellular,may,unknown,yes
technician,divorced,secondary,no,yes,yes,cellular,may,failure,yes
management,single,tertiary,no,yes,no,cellular,may,unknown,yes
blue-collar,divorced,primary,no,yes,no,cellular,may,unknown,yes
services,divorced,secondary,no,yes,no,cellular,may,unknown,yes
blue-collar,married,primary,no,yes,no,cellular,may,failure,yes
technician,single,tertiary,no,yes,yes,cellular,may,unknown,yes
blue-collar,married,primary,no,yes,no,telephone,may,unknown,yes
admin.,divorced,secondary,no,yes,no,cellular,may,success,yes
blue-collar,single,primary,no,yes,no,cellular,may,other,yes
blue-collar,married,secondary,no,yes,no,cellular,may,unknown,yes
blue-collar,single,secondary,no,yes,no,cellular,may,unknown,yes
admin.,divorced,secondary,no,yes,no,cellular,may,unknown,yes
management,married,tertiary,no,yes,no,cellular,may,other,yes
self-employed,single,tertiary,no,yes,no,cellular,may,failure,yes
blue-collar,divorced,primary,no,no,no,cellular,may,failure,yes
management,married,tertiary,no,yes,no,cellular,may,unknown,yes
services,married,secondary,no,yes,no,cellular,may,unknown,yes
blue-collar,single,secondary,no,yes,no,cellular,may,failure,yes
admin.,married,secondary,no,yes,no,cellular,may,success,yes
admin.,divorced,secondary,no,yes,yes,cellular,may,unknown,yes
management,married,tertiary,no,yes,no,cellular,may,other,yes
blue-collar,married,primary,no,yes,yes,cellular,may,failure,yes
admin.,married,secondary,no,yes,no,cellular,may,unknown,yes
blue-collar,married,secondary,no,yes,no,cellular,may,failure,yes
management,married,tertiary,no,yes,no,cellular,may,failure,yes
blue-collar,single,secondary,no,yes,no,cellular,may,unknown,yes
admin.,married,primary,no,yes,yes,cellular,may,unknown,yes
self-employed,divorced,tertiary,no,yes,no,cellular,may,success,yes
admin.,divorced,secondary,no,yes,no,cellular,may,unknown,yes
management,divorced,tertiary,no,yes,no,cellular,may,unknown,yes
blue-collar,married,secondary,no,yes,no,cellular,may,unknown,yes
blue-collar,divorced,secondary,no,yes,no,cellular,may,failure,yes
blue-collar,married,secondary,no,yes,no,cellular,may,unknown,yes
services,married,secondary,no,yes,no,cellular,may,unknown,yes
management,divorced,tertiary,no,yes,no,cellular,may,unknown,yes
blue-collar,single,secondary,no,yes,no,cellular,may,success,yes
admin.,single,secondary,no,yes,yes,cellular,may,unknown,yes
retired,divorced,secondary,no,no,no,cellular,may,unknown,yes
blue-collar,married,secondary,no,yes,no,cellular,may,unknown,yes
services,divorced,secondary,no,yes,no,cellular,may,other,yes
blue-collar,married,secondary,no,yes,no,cellular,may,unknown,yes
admin.,single,secondary,no,yes,no,cellular,may,failure,yes
management,single,tertiary,no,yes,no,cellular,may,unknown,yes
admin.,married,secondary,no,yes,no,telephone,may,other,yes
services,married,secondary,no,yes,no,cellular,may,unknown,yes
retired,married,tertiary,no,yes,no,cellular,may,unknown,yes
technician,single,secondary,no,yes,no,cellular,may,unknown,yes
services,single,secondary,no,yes,no,cellular,may,unknown,yes
services,single,secondary,no,yes,no,cellular,may,other,yes
services,married,secondary,no,yes,yes,cellular,may,failure,yes
retired,divorced,secondary,no,yes,no,cellular,may,unknown,yes
services,single,secondary,no,yes,no,cellular,may,failure,yes
services,single,secondary,no,yes,no,cellular,may,unknown,yes
services,married,secondary,no,yes,no,cellular,may,failure,yes
blue-collar,married,primary,no,yes,no,cellular,may,other,yes
blue-collar,single,secondary,no,yes,no,cellular,may,unknown,yes
blue-collar,single,secondary,no,yes,yes,cellular,may,unknown,yes
admin.,single,secondary,no,yes,no,cellular,may,other,yes
admin.,divorced,secondary,no,no,no,cellular,may,failure,yes
housemaid,married,tertiary,no,yes,no,cellular,may,failure,yes
technician,married,tertiary,no,yes,no,cellular,may,unknown,yes
services,married,secondary,no,yes,no,cellular,may,unknown,yes
management,single,secondary,no,yes,no,cellular,may,other,yes
admin.,married,secondary,no,yes,no,cellular,may,failure,yes
blue-collar,single,secondary,no,yes,no,cellular,may,unknown,yes
technician,single,tertiary,no,yes,no,cellular,may,unknown,yes
blue-collar,married,primary,no,yes,yes,cellular,may,other,yes
blue-collar,married,secondary,no,yes,no,cellular,may,unknown,yes
management,single,tertiary,no,no,no,cellular,may,unknown,yes
student,single,tertiary,no,yes,no,cellular,may,unknown,yes
services,married,secondary,no,yes,no,cellular,may,failure,yes
entrepreneur,married,secondary,no,yes,no,cellular,may,failure,yes
unemployed,married,secondary,no,yes,no,cellular,may,failure,yes
technician,single,secondary,no,yes,yes,cellular,may,unknown,yes
services,single,secondary,no,yes,no,cellular,may,unknown,yes
services,single,secondary,no,yes,no,cellular,may,other,yes
entrepreneur,married,tertiary,yes,yes,no,cellular,may,unknown,yes
retired,divorced,secondary,no,yes,no,cellular,may,unknown,yes
student,single,secondary,no,yes,no,cellular,may,unknown,yes
management,married,secondary,no,yes,yes,cellular,may,unknown,yes
admin.,single,secondary,no,no,no,cellular,may,unknown,yes
admin.,single,secondary,no,yes,no,cellular,may,failure,yes
blue-collar,married,secondary,no,yes,no,cellular,may,failure,yes
entrepreneur,single,secondary,no,yes,no,cellular,may,unknown,yes
admin.,divorced,secondary,no,yes,no,cellular,may,unknown,yes
admin.,married,secondary,no,yes,no,cellular,may,failure,yes
management,single,tertiary,no,yes,no,cellular,may,unknown,yes
admin.,divorced,secondary,no,yes,no,cellular,may,unknown,yes
blue-collar,married,primary,no,yes,no,cellular,may,unknown,yes
management,single,tertiary,no,yes,no,cellular,may,other,yes
management,married,tertiary,no,yes,no,cellular,may,unknown,yes
admin.,single,secondary,no,yes,no,cellular,may,failure,yes
blue-collar,married,secondary,no,yes,no,cellular,may,unknown,yes
self-employed,single,tertiary,no,yes,no,cellular,may,other,yes
services,single,secondary,no,yes,no,cellular,may,unknown,yes
blue-collar,married,primary,no,yes,no,cellular,may,unknown,yes
blue-collar,married,primary,no,yes,no,cellular,may,failure,yes
management,single,tertiary,no,yes,no,cellular,may,failure,yes
services,divorced,secondary,no,yes,no,cellular,may,unknown,yes
blue-collar,married,primary,no,yes,no,telephone,may,unknown,yes
blue-collar,married,secondary,no,yes,yes,cellular,may,failure,yes
technician,married,tertiary,no,yes,no,cellular,may,unknown,yes
services,married,secondary,no,yes,no,cellular,may,unknown,yes
blue-collar,married,secondary,no,yes,no,cellular,may,failure,yes
management,single,tertiary,no,yes,no,cellular,may,unknown,yes
admin.,single,secondary,no,yes,no,cellular,may,failure,yes
services,single,secondary,no,yes,no,cellular,may,unknown,yes
technician,single,secondary,no,yes,no,cellular,may,failure,yes
admin.,single,secondary,no,yes,no,cellular,may,unknown,yes
blue-collar,married,secondary,no,yes,no,cellular,may,unknown,yes
technician,single,secondary,no,yes,no,cellular,may,unknown,yes
blue-collar,single,secondary,no,yes,yes,cellular,may,unknown,yes
blue-collar,single,secondary,no,yes,no,cellular,may,success,yes
blue-collar,single,secondary,no,yes,yes,cellular,may,unknown,yes
management,single,tertiary,no,yes,no,cellular,may,unknown,yes
blue-collar,single,secondary,no,yes,no,cellular,may,unknown,yes
services,single,secondary,no,yes,no,cellular,may,unknown,yes
blue-collar,married,secondary,no,yes,no,cellular,may,unknown,yes
admin.,single,secondary,no,yes,yes,cellular,may,unknown,yes
technician,single,tertiary,no,yes,no,cellular,may,unknown,yes
retired,divorced,tertiary,no,no,no,cellular,may,success,yes
blue-collar,single,secondary,no,yes,no,cellular,may,unknown,yes
housemaid,single,secondary,no,yes,no,cellular,may,success,yes
blue-collar,married,unknown,no,yes,no,cellular,may,unknown,yes
services,single,secondary,no,yes,no,cellular,may,unknown,yes
blue-collar,single,primary,no,yes,no,cellular,may,unknown,yes
admin.,single,tertiary,no,yes,no,cellular,may,unknown,yes
entrepreneur,married,tertiary,no,yes,no,cellular,may,unknown,yes
technician,divorced,secondary,no,yes,yes,cellular,may,failure,yes
blue-collar,single,secondary,no,yes,no,cellular,may,unknown,yes
blue-collar,married,primary,no,yes,yes,cellular,may,failure,yes
blue-collar,single,primary,no,yes,no,cellular,may,unknown,yes
blue-collar,single,primary,no,yes,yes,cellular,may,unknown,yes
blue-collar,married,secondary,no,yes,yes,cellular,may,failure,yes
technician,single,tertiary,no,yes,no,cellular,may,unknown,yes
blue-collar,married,primary,no,yes,no,cellular,may,other,yes
management,married,tertiary,no,yes,no,cellular,may,unknown,yes
self-employed,married,secondary,no,yes,yes,cellular,may,unknown,yes
technician,single,secondary,no,yes,no,cellular,may,success,yes
services,single,secondary,no,yes,no,cellular,may,failure,yes
admin.,single,secondary,no,yes,yes,cellular,may,unknown,yes
unemployed,single,tertiary,no,yes,no,cellular,may,success,yes
blue-collar,single,secondary,no,yes,no,cellular,may,unknown,yes
admin.,divorced,secondary,no,yes,yes,cellular,may,success,yes
management,married,tertiary,no,no,no,cellular,may,unknown,yes
technician,single,tertiary,no,no,no,cellular,may,failure,yes
admin.,married,secondary,no,no,no,cellular,may,unknown,yes
services,married,secondary,no,yes,no,cellular,may,failure,yes
management,married,tertiary,no,no,no,cellular,may,unknown,yes
technician,divorced,secondary,no,yes,no,cellular,may,unknown,yes
management,single,tertiary,no,yes,no,cellular,may,success,yes
services,married,secondary,no,no,no,cellular,may,failure,yes
technician,married,secondary,no,no,no,cellular,may,unknown,yes
student,single,secondary,no,no,no,cellular,may,success,yes
management,single,tertiary,no,no,no,cellular,may,unknown,yes
management,divorced,unknown,no,no,no,cellular,may,success,yes
student,single,tertiary,no,yes,no,cellular,may,success,yes
services,single,secondary,no,no,no,cellular,may,unknown,yes
management,single,tertiary,no,no,no,cellular,may,unknown,yes
management,married,primary,no,yes,no,cellular,may,success,yes
blue-collar,married,unknown,no,no,no,telephone,may,unknown,yes
management,married,tertiary,no,no,no,cellular,may,other,yes
management,single,tertiary,no,yes,no,cellular,may,other,yes
admin.,single,secondary,no,yes,no,cellular,may,success,yes
retired,divorced,tertiary,no,no,yes,cellular,may,failure,yes
technician,single,secondary,no,no,no,cellular,may,unknown,yes
blue-collar,single,tertiary,no,no,no,cellular,may,unknown,yes
student,single,unknown,no,no,no,cellular,may,unknown,yes
technician,single,tertiary,no,no,no,cellular,may,unknown,yes
technician,single,tertiary,no,yes,no,cellular,may,failure,yes
management,single,tertiary,no,no,no,cellular,may,unknown,yes
technician,married,secondary,no,no,no,cellular,may,unknown,yes
blue-collar,single,secondary,no,no,yes,cellular,may,success,yes
retired,divorced,tertiary,no,no,no,cellular,may,unknown,yes
management,single,tertiary,no,no,no,cellular,may,unknown,yes
admin.,single,secondary,no,yes,no,cellular,may,unknown,yes
services,married,secondary,no,yes,yes,cellular,may,unknown,yes
services,single,secondary,no,yes,no,cellular,may,unknown,yes
technician,divorced,secondary,no,no,no,cellular,may,other,yes
technician,married,tertiary,no,yes,yes,cellular,may,failure,yes
technician,single,secondary,no,yes,no,cellular,may,other,yes
technician,single,secondary,no,no,no,cellular,may,unknown,yes
student,single,secondary,no,no,no,cellular,may,unknown,yes
technician,single,tertiary,no,yes,no,cellular,may,failure,yes
technician,single,tertiary,no,yes,yes,cellular,may,failure,yes
student,single,secondary,no,no,no,cellular,may,success,yes
technician,married,secondary,no,no,no,cellular,may,other,yes
management,married,tertiary,no,no,no,cellular,may,unknown,yes
management,married,tertiary,no,no,no,cellular,may,unknown,yes
technician,single,secondary,no,no,no,cellular,may,other,yes
management,single,tertiary,no,no,no,cellular,may,unknown,yes
retired,married,secondary,no,no,no,cellular,may,failure,yes
management,divorced,tertiary,no,yes,no,cellular,may,other,yes
retired,married,tertiary,no,no,no,telephone,may,unknown,yes
student,single,tertiary,no,no,no,cellular,may,unknown,yes
student,single,secondary,no,no,no,cellular,may,unknown,yes
student,single,secondary,no,no,no,cellular,may,unknown,yes
student,single,tertiary,no,no,no,cellular,may,unknown,yes
management,single,tertiary,no,no,no,cellular,may,success,yes
admin.,married,tertiary,no,no,no,cellular,may,unknown,yes
admin.,single,secondary,no,no,no,cellular,may,unknown,yes
self-employed,single,tertiary,no,no,no,cellular,may,unknown,yes
admin.,single,secondary,no,yes,no,cellular,may,unknown,yes
admin.,divorced,secondary,no,no,no,cellular,may,success,yes
admin.,married,secondary,no,no,no,cellular,may,success,yes
admin.,married,secondary,no,yes,no,cellular,may,unknown,yes
admin.,single,secondary,no,no,no,cellular,may,unknown,yes
admin.,single,tertiary,no,yes,no,cellular,may,unknown,yes
admin.,single,secondary,no,no,no,cellular,may,success,yes
technician,married,secondary,no,no,no,cellular,may,other,yes
retired,divorced,tertiary,no,no,no,cellular,may,unknown,yes
management,married,tertiary,no,no,no,cellular,may,unknown,yes
admin.,single,secondary,no,no,no,telephone,may,unknown,yes
admin.,single,tertiary,no,yes,no,cellular,may,failure,yes
student,single,unknown,no,no,no,cellular,may,unknown,yes
management,married,tertiary,no,no,no,cellular,may,unknown,yes
admin.,married,secondary,no,no,no,cellular,jun,success,yes
management,married,tertiary,no,no,no,cellular,jun,unknown,yes
management,married,tertiary,no,yes,yes,cellular,jun,unknown,yes
unemployed,single,tertiary,no,no,no,cellular,jun,unknown,yes
management,married,tertiary,no,yes,no,cellular,jun,success,yes
technician,single,secondary,no,no,no,cellular,jun,unknown,yes
housemaid,divorced,secondary,no,no,no,cellular,jun,unknown,yes
blue-collar,married,secondary,no,no,no,cellular,jun,unknown,yes
management,married,tertiary,no,no,no,cellular,jun,unknown,yes
admin.,married,tertiary,no,no,no,cellular,jun,failure,yes
management,single,secondary,no,no,no,cellular,jun,unknown,yes
admin.,married,secondary,no,no,no,cellular,jun,unknown,yes
technician,single,secondary,no,no,no,cellular,jun,unknown,yes
technician,married,secondary,no,no,no,cellular,jun,unknown,yes
management,married,tertiary,no,no,yes,cellular,jun,unknown,yes
technician,married,secondary,no,no,yes,cellular,jun,unknown,yes
management,married,tertiary,no,no,no,cellular,jun,unknown,yes
technician,married,secondary,no,no,no,cellular,jun,success,yes
blue-collar,married,secondary,no,no,no,cellular,jun,unknown,yes
services,divorced,secondary,no,no,no,cellular,jun,success,yes
management,divorced,tertiary,no,no,no,cellular,jun,other,yes
services,single,secondary,no,no,no,cellular,jun,unknown,yes
management,married,tertiary,no,no,no,cellular,jun,unknown,yes
self-employed,single,tertiary,no,no,no,cellular,jun,unknown,yes
unemployed,single,secondary,no,no,no,cellular,jun,unknown,yes
student,single,unknown,no,no,no,cellular,jun,unknown,yes
admin.,single,secondary,no,yes,yes,cellular,jun,unknown,yes
management,single,tertiary,no,no,no,cellular,jun,other,yes
blue-collar,married,secondary,no,no,no,cellular,jun,unknown,yes
management,married,tertiary,no,no,no,cellular,jun,success,yes
management,single,tertiary,no,no,no,cellular,jun,unknown,yes
admin.,married,secondary,no,no,no,cellular,jun,unknown,yes
management,married,tertiary,no,no,no,cellular,jun,unknown,yes
admin.,single,tertiary,no,no,yes,cellular,jun,success,yes
management,married,tertiary,no,no,no,cellular,jun,unknown,yes
management,single,tertiary,no,yes,no,cellular,jun,unknown,yes
unemployed,single,tertiary,no,no,no,cellular,jun,unknown,yes
blue-collar,married,secondary,no,no,no,cellular,jun,unknown,yes
technician,divorced,secondary,no,yes,no,cellular,jun,unknown,yes
admin.,married,tertiary,no,no,no,cellular,jun,success,yes
services,divorced,secondary,no,no,no,cellular,jun,unknown,yes
technician,married,secondary,no,no,no,cellular,jun,unknown,yes
admin.,married,secondary,no,no,no,telephone,jun,unknown,yes
services,married,secondary,no,yes,no,cellular,jun,success,yes
technician,married,tertiary,no,yes,no,cellular,jun,failure,yes
technician,single,tertiary,no,no,no,cellular,jun,success,yes
admin.,married,tertiary,no,no,no,cellular,jun,unknown,yes
student,single,tertiary,no,no,no,cellular,jun,unknown,yes
technician,single,secondary,no,no,no,cellular,jun,unknown,yes
services,married,secondary,no,yes,no,cellular,jun,failure,yes
blue-collar,married,secondary,no,yes,no,cellular,jun,other,yes
blue-collar,married,primary,no,no,no,cellular,jun,unknown,yes
technician,single,tertiary,no,no,no,cellular,jun,success,yes
entrepreneur,married,tertiary,no,no,no,cellular,jun,unknown,yes
blue-collar,married,secondary,no,no,no,cellular,jun,unknown,yes
management,married,tertiary,no,no,no,cellular,jun,failure,yes
technician,married,tertiary,no,no,no,cellular,jun,unknown,yes
technician,married,secondary,no,yes,no,cellular,jun,failure,yes
technician,married,secondary,no,no,no,cellular,jun,unknown,yes
unemployed,married,secondary,no,no,no,cellular,jun,success,yes
technician,married,secondary,no,no,no,telephone,jun,unknown,yes
self-employed,married,secondary,no,no,no,cellular,jun,success,yes
admin.,single,secondary,no,yes,yes,cellular,jun,unknown,yes
entrepreneur,married,secondary,no,no,no,telephone,jun,unknown,yes
management,single,tertiary,no,no,no,cellular,jun,unknown,yes
blue-collar,married,secondary,no,no,no,cellular,jun,failure,yes
management,divorced,tertiary,no,no,no,cellular,jun,unknown,yes
blue-collar,married,primary,no,no,no,cellular,jun,unknown,yes
admin.,married,secondary,no,no,no,cellular,jun,unknown,yes
technician,single,tertiary,no,no,no,cellular,jun,unknown,yes
management,divorced,tertiary,no,no,no,cellular,jun,unknown,yes
student,single,tertiary,no,no,no,cellular,jun,unknown,yes
admin.,married,secondary,no,yes,no,cellular,jun,unknown,yes
management,single,tertiary,no,yes,no,cellular,jun,failure,yes
management,divorced,tertiary,no,no,no,cellular,jun,unknown,yes
technician,single,secondary,no,yes,no,cellular,jun,success,yes
management,single,tertiary,no,no,no,cellular,jun,unknown,yes
admin.,divorced,secondary,no,no,no,cellular,jun,unknown,yes
blue-collar,single,tertiary,no,no,no,cellular,jun,unknown,yes
management,single,tertiary,no,no,no,cellular,jun,success,yes
retired,married,secondary,no,no,no,cellular,jun,unknown,yes
unemployed,married,tertiary,no,no,no,cellular,jun,failure,yes
blue-collar,single,secondary,no,no,no,cellular,jun,unknown,yes
blue-collar,married,primary,no,no,no,cellular,jun,success,yes
blue-collar,married,secondary,no,yes,no,cellular,jun,other,yes
management,divorced,tertiary,no,yes,no,cellular,jun,other,yes
management,divorced,tertiary,no,no,no,cellular,jun,unknown,yes
services,married,secondary,no,yes,no,cellular,jun,success,yes
management,married,tertiary,no,yes,yes,cellular,jun,unknown,yes
admin.,single,secondary,no,no,no,cellular,jun,unknown,yes
management,married,secondary,no,no,no,cellular,jun,unknown,yes
services,single,secondary,no,no,no,cellular,jun,unknown,yes
management,single,tertiary,no,no,no,cellular,jun,unknown,yes
student,single,secondary,no,no,no,cellular,jun,unknown,yes
student,single,secondary,no,no,no,cellular,jun,unknown,yes
admin.,single,tertiary,no,no,no,cellular,jun,unknown,yes
services,married,secondary,no,yes,yes,cellular,jun,failure,yes
management,married,tertiary,no,no,no,cellular,jun,unknown,yes
technician,single,tertiary,no,yes,no,cellular,jun,other,yes
management,married,tertiary,no,no,no,cellular,jun,other,yes
management,married,tertiary,no,yes,no,cellular,jun,unknown,yes
technician,single,secondary,no,no,no,cellular,jun,success,yes
admin.,married,secondary,no,no,no,cellular,jun,unknown,yes
admin.,single,secondary,no,no,no,cellular,jun,unknown,yes
entrepreneur,divorced,secondary,no,yes,no,cellular,jun,failure,yes
blue-collar,married,secondary,no,no,yes,cellular,jun,failure,yes
unemployed,married,secondary,no,no,no,cellular,jun,unknown,yes
services,single,secondary,no,no,no,cellular,jun,unknown,yes
management,single,tertiary,no,no,no,cellular,jun,success,yes
student,single,secondary,no,no,no,cellular,jun,unknown,yes
admin.,single,secondary,no,no,no,cellular,jun,failure,yes
admin.,single,secondary,no,yes,no,cellular,jun,failure,yes
admin.,married,secondary,no,no,no,cellular,jun,unknown,yes
management,single,secondary,no,no,no,cellular,jun,success,yes
management,single,secondary,no,no,no,cellular,jun,unknown,yes
admin.,divorced,secondary,no,no,no,cellular,jun,success,yes
retired,married,primary,no,no,no,cellular,jun,unknown,yes
technician,married,tertiary,no,no,no,cellular,jun,unknown,yes
retired,married,secondary,no,no,no,telephone,jun,unknown,yes
self-employed,single,tertiary,no,yes,no,cellular,jun,success,yes
student,single,secondary,no,no,no,cellular,jun,unknown,yes
technician,married,secondary,no,no,no,cellular,jun,unknown,yes
management,married,tertiary,no,no,no,cellular,jun,unknown,yes
retired,married,primary,no,no,no,cellular,jun,unknown,yes
management,single,tertiary,no,yes,no,cellular,jun,unknown,yes
blue-collar,married,secondary,no,no,no,cellular,jun,unknown,yes
technician,single,tertiary,no,yes,no,cellular,jun,unknown,yes
housemaid,single,primary,no,no,no,telephone,jun,unknown,yes
management,single,tertiary,no,no,no,cellular,jun,success,yes
unemployed,single,primary,no,no,no,cellular,jun,unknown,yes
unemployed,single,tertiary,no,no,no,telephone,jun,unknown,yes
self-employed,single,tertiary,no,no,no,cellular,jun,unknown,yes
unemployed,single,secondary,no,yes,no,cellular,jun,unknown,yes
management,divorced,tertiary,no,no,yes,cellular,jun,unknown,yes
blue-collar,single,secondary,no,no,no,cellular,jun,success,yes
services,married,primary,no,yes,no,cellular,jun,unknown,yes
technician,single,secondary,no,no,no,cellular,jun,unknown,yes
technician,single,tertiary,no,no,no,cellular,jun,unknown,yes
admin.,married,tertiary,no,no,no,cellular,jun,unknown,yes
self-employed,married,unknown,no,no,no,cellular,jun,unknown,yes
technician,married,secondary,no,yes,no,cellular,jun,unknown,yes
blue-collar,married,primary,no,no,no,cellular,jun,unknown,yes
admin.,single,tertiary,no,no,no,cellular,jun,success,yes
entrepreneur,divorced,tertiary,no,no,no,cellular,jun,success,yes
management,single,tertiary,no,no,no,cellular,jun,unknown,yes
technician,single,tertiary,no,no,no,telephone,jun,unknown,yes
services,single,tertiary,no,no,no,cellular,jun,unknown,yes
management,married,secondary,no,no,no,cellular,jun,failure,yes
self-employed,single,tertiary,no,no,no,cellular,jun,other,yes
management,married,tertiary,no,no,no,cellular,jun,other,yes
management,single,tertiary,no,yes,no,cellular,jun,unknown,yes
admin.,married,secondary,no,no,no,telephone,jun,unknown,yes
services,married,secondary,no,no,no,cellular,jun,unknown,yes
entrepreneur,married,secondary,no,no,no,cellular,jun,unknown,yes
technician,married,secondary,no,no,no,cellular,jun,success,yes
retired,married,secondary,no,yes,no,cellular,jun,unknown,yes
management,single,tertiary,no,no,no,cellular,jun,unknown,yes
management,married,tertiary,no,no,no,cellular,jun,unknown,yes
services,single,secondary,no,no,no,cellular,jun,unknown,yes
student,single,secondary,no,no,no,cellular,jun,other,yes
management,single,tertiary,no,no,no,cellular,jun,unknown,yes
admin.,married,secondary,no,no,no,cellular,jun,failure,yes
admin.,single,tertiary,no,yes,no,cellular,jun,success,yes
admin.,single,tertiary,no,no,no,cellular,jun,unknown,yes
management,married,tertiary,no,no,no,cellular,jun,unknown,yes
management,single,tertiary,no,no,no,cellular,jun,unknown,yes
management,single,tertiary,no,no,no,cellular,jun,unknown,yes
blue-collar,married,secondary,no,yes,yes,cellular,jun,unknown,yes
technician,married,unknown,no,no,no,cellular,jun,unknown,yes
services,married,secondary,no,yes,yes,cellular,jun,unknown,yes
technician,single,secondary,no,no,no,cellular,jun,unknown,yes
management,married,tertiary,no,no,no,cellular,jun,unknown,yes
retired,married,primary,no,no,no,cellular,jun,unknown,yes
management,married,tertiary,no,yes,yes,cellular,jun,failure,yes
services,single,secondary,no,no,no,telephone,jun,other,yes
management,single,tertiary,no,no,no,telephone,jun,failure,yes
management,married,tertiary,no,no,no,cellular,jun,unknown,yes
retired,married,primary,no,no,no,telephone,jun,failure,yes
management,married,tertiary,no,no,no,cellular,jun,success,yes
retired,married,secondary,no,yes,no,cellular,jun,unknown,yes
admin.,married,secondary,no,yes,yes,cellular,jun,failure,yes
retired,married,secondary,no,no,no,cellular,jun,unknown,yes
retired,married,tertiary,no,no,no,cellular,jun,unknown,yes
management,married,tertiary,no,no,no,cellular,jun,unknown,yes
management,married,tertiary,no,no,no,cellular,jun,unknown,yes
student,single,unknown,no,no,no,cellular,jun,unknown,yes
management,married,tertiary,no,no,no,cellular,jul,unknown,yes
entrepreneur,married,tertiary,no,no,yes,cellular,jul,unknown,yes
self-employed,married,tertiary,no,no,no,cellular,jul,success,yes
retired,divorced,primary,no,no,no,cellular,jul,unknown,yes
blue-collar,married,secondary,no,no,no,cellular,jul,unknown,yes
blue-collar,married,secondary,no,yes,no,cellular,jul,unknown,yes
